City,total_count
LONDON,4
LEICESTER,4
LIVERPOOL,4
ALDERSHOT,3
MANCHESTER,3
CHESTERFIELD,3
FARNBOROUGH,3
SWANSEA,2
LOWESTOFT,2
DONCASTER,2
